"","Estimate","Std. Error","df","t value","Pr(>|t|)"
<<<<<<< HEAD
"(Intercept)",51.3920919149287,0.29461523998971,76.2224813660597,174.437995525023,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000060767280602782
"age",-2.02446317972702,0.104032618552407,74.0987674849953,-19.4598887146841,0.000000000000000000000000000000757548625649613
"gender",-2.31029196476566,0.118342809048955,73.38941420313,-19.5220308131267,0.000000000000000000000000000000883606304798671
"(Intercept)",52.0457036317951,0.277529143288164,81.2088913919412,187.532390347038,7.07956222502866e-109
"age",-1.48038216504285,0.0896998803604179,73.3692652230403,-16.5037250785019,0.0000000000000000000000000209151673239143
"gender",-2.16309220715424,0.122357403925652,73.6071016021274,-17.6784741891762,0.000000000000000000000000000330866619113688
"children1",-1.30551417141116,0.130845997050985,71.8118176978097,-9.97748651724103,0.00000000000000334028457548589
"married1",-0.848764588028736,0.098530102751676,63.3668426774766,-8.61426675021202,0.00000000000289068866820877
"education1",0.786348144719559,0.0646531600733332,141746.72736801,12.1625631883676,0.000000000000000000000000000000000511514514950022
"employed1",0.116060949309546,0.0855249701010992,71.6389211139912,1.35704168235721,0.179028392980954
"(Intercept)",52.0515127592178,0.278634948746305,79.0052193109778,186.808987865375,2.6515416126362e-106
"age",-1.44556226634827,0.078851715527653,74.2328776009511,-18.3326672942368,0.0000000000000000000000000000280121786624231
"gender",-2.0779111874026,0.050112135752423,130205.864571951,-41.4652290548628,0
"married1",-0.829636504095008,0.0977870179679025,62.4575288423348,-8.48411702632477,0.0000000000054350080536811
"children1",-1.33238098042579,0.13036014500278,75.9636177564239,-10.2207693954113,0.000000000000000638609983391095
"education1",0.788351928156139,0.117884346339554,52.0440708675366,6.68750307089433,0.0000000155307133626636
"employed1",0.112739682321156,0.0822109968955618,74.7058566379143,1.37134552040984,0.174372468642069
"hardship_index",0.480454552378085,0.361221743791511,78.3746246036375,1.33008203585716,0.187348956015798
"age:hardship_index",0.441198305583782,0.106393452623574,75.8444306643101,4.14685579520356,0.0000870326696964345
"hardship_index:gender",0.562386825206336,0.0662588158175536,63539.6480640269,8.48772828592185,0.0000000000000000215180434711007
=======
"(Intercept)",51.2867349313066,0.329300608031949,74.9232379476173,155.744428283384,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000753676560646569
"age",-2.0652559266733,0.120310960568022,74.589137119568,-17.1659831899159,0.00000000000000000000000000127289869195394
"gender1",-1.98427106194133,0.135839843179088,75.475446183997,-14.6074304526788,0.0000000000000000000000106954727898577
"(Intercept)",51.3151450052859,0.329241295263619,76.7845269506898,155.858775139973,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000082799828274841
"age",-2.08556855525243,0.109667633735505,76.0563081575646,-19.0171747507782,0.00000000000000000000000000000125000740859146
"hardship_index",0.477961699416329,0.423095204399259,77.0953842294281,1.12967883929333,0.262114172347297
"gender1",-2.03589085620514,0.0662342225180673,78376.9294692407,-30.7377482335478,3.02303737496097e-206
"age:hardship_index",0.580950217216443,0.142526820767174,79.7861279944747,4.07607644715136,0.00010752757621732
"hardship_index:gender1",0.478694130597715,0.0880362561052218,78398.113089328,5.43746578711361,0.0000000542046269226127
>>>>>>> 441153e7b2fe0a28493244c4ab4ea7556cf017e8
